model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.3962765957446808,0.8010752688172043,0.5302491103202847,0.6801492848940391,0.271659648156165,0.6383737517831669,0.4086311530681052,0.8156123822341858,0.5444743935309974,0.6950453953868648,0.295869256947681
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6533523537803139,0.4192415730337078,0.8045822102425876,0.5512465373961218,0.7017576424636799,0.311788554656173
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7838801711840229,0.6011730205278593,0.5510752688172043,0.5750350631136044,0.709518216932874,0.4304954137295856,0.7699714693295292,0.5710144927536231,0.5302826379542396,0.5498953244940684,0.6933315179096767,0.3956880397969521
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.782453637660485,0.6043613707165109,0.521505376344086,0.5598845598845599,0.6991022027351498,0.4164408088847402,0.7810271041369472,0.6056105610561056,0.4946091644204852,0.5445103857566765,0.6893511389512708,0.4023040540352884
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6726105563480742,0.4359351988217967,0.7956989247311828,0.5632730732635585,0.711927132268504,0.3354324886453529,0.6861626248216833,0.4480667172100075,0.7954239569313594,0.5732298739088264,0.7210986839484551,0.3543589510112213
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6790299572039943,0.4412650602409638,0.7876344086021505,0.5656370656370656,0.7137201169224345,0.341753820728338,0.7072039942938659,0.4686756542426645,0.7964959568733153,0.5901148277583624,0.7357843508905859,0.3853057658458226
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.8102710413694721,0.6586826347305389,0.5913978494623656,0.623229461756374,0.7403591189059401,0.4969324822342967,0.797432239657632,0.6335877862595419,0.5585464333781965,0.5937052932761088,0.7210490536614419,0.4594995964925736
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8002853067047075,0.6483870967741936,0.5403225806451613,0.5894428152492669,0.7172486689633574,0.4589289947679195,0.8017118402282454,0.6576271186440678,0.522911051212938,0.5825825825825827,0.7124739543164593,0.4547662280615856
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7282453637660485,0.4925619834710744,0.8010752688172043,0.6100307062436029,0.7515085081950099,0.4191580563572029,0.7339514978601998,0.4987341772151898,0.7954239569313594,0.6130705394190871,0.75360717497223,0.4261541610039717
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7261055634807418,0.4899665551839465,0.7876344086021505,0.6041237113402063,0.7457589518738909,0.4116376766612607,0.7585592011412268,0.5286343612334802,0.8086253369272237,0.6393180607352157,0.7745842494529427,0.4695638275518279
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.8088445078459344,0.655688622754491,0.5887096774193549,0.6203966005665723,0.738529595991231,0.493150019694705,0.7970756062767475,0.6330275229357798,0.5572005383580081,0.5926986399427344,0.7203761061513475,0.458305719128224
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.8002853067047075,0.6474358974358975,0.543010752688172,0.5906432748538012,0.718107318091659,0.4599086456441583,0.8024251069900142,0.6587837837837838,0.5256064690026954,0.5847076461769115,0.713821663211338,0.4572286310869851
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.7275320970042796,0.4917491749174917,0.8010752688172043,0.6094069529652352,0.751023071301806,0.4180499232852182,0.7343081312410842,0.4991568296795953,0.7967698519515478,0.6137895282529808,0.7542801224823241,0.4271305244452245
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.7268188302425107,0.490787269681742,0.7876344086021505,0.6047471620227038,0.7462443887670946,0.4127475748329451,0.7585592011412268,0.5286343612334802,0.8086253369272237,0.6393180607352157,0.7745842494529427,0.4695638275518279
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.5527777777777778,0.5349462365591398,0.5437158469945355,0.6893177784737446,0.3825775555625876,0.75,0.5297450424929179,0.5033647375504711,0.5162180814354727,0.6711389432536441,0.3478161041580951
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7667617689015692,0.5683890577507599,0.5026881720430108,0.5335235378031384,0.6824120471865539,0.3788105026110192,0.7621255349500713,0.5621890547263682,0.4568733153638814,0.504089219330855,0.6644211387682647,0.3498175578336104
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.3962765957446808,0.8010752688172043,0.5302491103202847,0.6801492848940391,0.271659648156165,0.6383737517831669,0.4086311530681052,0.8156123822341858,0.5444743935309974,0.6950453953868648,0.295869256947681
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6533523537803139,0.4192415730337078,0.8045822102425876,0.5512465373961218,0.7017576424636799,0.311788554656173
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7838801711840229,0.6011730205278593,0.5510752688172043,0.5750350631136044,0.709518216932874,0.4304954137295856,0.7699714693295292,0.5710144927536231,0.5302826379542396,0.5498953244940684,0.6933315179096767,0.3956880397969521
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.7817403708987162,0.6024844720496895,0.521505376344086,0.5590778097982708,0.6986167658419459,0.4150527664912328,0.7810271041369472,0.6056105610561056,0.4946091644204852,0.5445103857566765,0.6893511389512708,0.4023040540352884
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6726105563480742,0.4359351988217967,0.7956989247311828,0.5632730732635585,0.711927132268504,0.3354324886453529,0.6861626248216833,0.4480667172100075,0.7954239569313594,0.5732298739088264,0.7210986839484551,0.3543589510112213
LogisticRegression,"{'penalty': 'l1', 'C': 10, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6790299572039943,0.4412650602409638,0.7876344086021505,0.5656370656370656,0.7137201169224345,0.341753820728338,0.7072039942938659,0.4686756542426645,0.7964959568733153,0.5901148277583624,0.7357843508905859,0.3853057658458226
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.8002853067047075,0.6402439024390244,0.5645161290322581,0.6,0.7249765111180707,0.4676199672348136,0.7860199714693296,0.6133122028526149,0.5208613728129206,0.5633187772925765,0.7012361206616762,0.4228532810983076
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8002853067047075,0.6533333333333333,0.5268817204301075,0.5833333333333333,0.7129554233218498,0.4539769439622558,0.7988587731811697,0.6583629893238434,0.4986522911051212,0.5674846625766871,0.7027694045244326,0.4396784589612842
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7047075606276747,0.4663461538461538,0.782258064516129,0.5843373493975904,0.7294785468211713,0.3773140400113287,0.7139800285306704,0.4758394758394758,0.7819650067294751,0.5916496945010183,0.7357180686243203,0.3910042923104004
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7089871611982882,0.4706840390879478,0.7768817204301075,0.5862068965517241,0.7306738699237916,0.3819758069744025,0.735734664764622,0.5004240882103478,0.7951482479784366,0.614263404476835,0.7547516215643879,0.4286909983590186
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.8002853067047075,0.6402439024390244,0.5645161290322581,0.6,0.7249765111180707,0.4676199672348136,0.7860199714693296,0.6133122028526149,0.5208613728129206,0.5633187772925765,0.7012361206616762,0.4228532810983076
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.8002853067047075,0.6533333333333333,0.5268817204301075,0.5833333333333333,0.7129554233218498,0.4539769439622558,0.7988587731811697,0.6583629893238434,0.4986522911051212,0.5674846625766871,0.7027694045244326,0.4396784589612842
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.7047075606276747,0.4663461538461538,0.782258064516129,0.5843373493975904,0.7294785468211713,0.3773140400113287,0.7139800285306704,0.4758394758394758,0.7819650067294751,0.5916496945010183,0.7357180686243203,0.3910042923104004
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.7089871611982882,0.4706840390879478,0.7768817204301075,0.5862068965517241,0.7306738699237916,0.3819758069744025,0.735734664764622,0.5004240882103478,0.7951482479784366,0.614263404476835,0.7547516215643879,0.4286909983590186
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.5527777777777778,0.5349462365591398,0.5437158469945355,0.6893177784737446,0.3825775555625876,0.75,0.5297450424929179,0.5033647375504711,0.5162180814354727,0.6711389432536441,0.3478161041580951
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7667617689015692,0.5683890577507599,0.5026881720430108,0.5335235378031384,0.6824120471865539,0.3788105026110192,0.7621255349500713,0.5621890547263682,0.4568733153638814,0.504089219330855,0.6644211387682647,0.3498175578336104
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.3962765957446808,0.8010752688172043,0.5302491103202847,0.6801492848940391,0.271659648156165,0.6383737517831669,0.4086311530681052,0.8156123822341858,0.5444743935309974,0.6950453953868648,0.295869256947681
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6529957203994294,0.4188334504567814,0.8032345013477089,0.5505773672055427,0.7010837880162405,0.3108508161805418
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7831669044222539,0.5994152046783626,0.5510752688172043,0.5742296918767508,0.7090327800396701,0.4291194513648906,0.7703281027104137,0.5716353111432706,0.531628532974428,0.5509065550906556,0.694004465419771,0.3968905618030065
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.7831669044222539,0.60625,0.521505376344086,0.560693641618497,0.6995876396283538,0.4178313463660901,0.7820970042796006,0.6082644628099173,0.4959568733153638,0.546399406087602,0.6905099594510864,0.4049517082712783
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6718972895863052,0.4351032448377581,0.793010752688172,0.5619047619047619,0.7105830462469986,0.3335317484922514,0.6872325249643366,0.4491654021244309,0.7967698519515478,0.5744784085395439,0.7222568328171131,0.3563380252197621
LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6783166904422254,0.4406015037593985,0.7876344086021505,0.5650916104146576,0.7132346800292306,0.3407436446553799,0.706490727532097,0.4679334916864608,0.7964959568733153,0.5895261845386532,0.7352993848382096,0.3842423996618751
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.8095577746077033,0.6605504587155964,0.5806451612903226,0.6180257510729614,0.7364390854995302,0.4918841878079569,0.8002853067047075,0.6478190630048465,0.5397039030955586,0.5888399412628488,0.7169650034643247,0.4583911363562676
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8074179743223966,0.6666666666666666,0.5483870967741935,0.6017699115044248,0.7246789852803006,0.4763533141880115,0.8042082738944365,0.6732495511669659,0.5053908355795148,0.5773672055427251,0.708563507023511,0.4533022137873037
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7310984308131241,0.4958263772954925,0.7983870967741935,0.611740473738414,0.7525916066395241,0.4227781138949378,0.7453637660485022,0.5126416739319966,0.7913862718707941,0.6222222222222222,0.7600793562168138,0.4431181396549432
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7346647646219686,0.5,0.7849462365591398,0.6108786610878661,0.7507255454640359,0.4242274369187561,0.7596291012838802,0.530741410488246,0.7911051212938005,0.6352813852813853,0.7697038700552417,0.4662046587927991
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.8095577746077033,0.6605504587155964,0.5806451612903226,0.6180257510729614,0.7364390854995302,0.4918841878079569,0.8002853067047075,0.6478190630048465,0.5397039030955586,0.5888399412628488,0.7169650034643247,0.4583911363562676
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.8074179743223966,0.6666666666666666,0.5483870967741935,0.6017699115044248,0.7246789852803006,0.4763533141880115,0.8042082738944365,0.6732495511669659,0.5053908355795148,0.5773672055427251,0.708563507023511,0.4533022137873037
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.7310984308131241,0.4958263772954925,0.7983870967741935,0.611740473738414,0.7525916066395241,0.4227781138949378,0.7453637660485022,0.5126416739319966,0.7913862718707941,0.6222222222222222,0.7600793562168138,0.4431181396549432
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.7346647646219686,0.5,0.7849462365591398,0.6108786610878661,0.7507255454640359,0.4242274369187561,0.7596291012838802,0.530741410488246,0.7911051212938005,0.6352813852813853,0.7697038700552417,0.4662046587927991
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.5527777777777778,0.5349462365591398,0.5437158469945355,0.6893177784737446,0.3825775555625876,0.75,0.5297450424929179,0.5033647375504711,0.5162180814354727,0.6711389432536441,0.3478161041580951
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7667617689015692,0.5683890577507599,0.5026881720430108,0.5335235378031384,0.6824120471865539,0.3788105026110192,0.7621255349500713,0.5621890547263682,0.4568733153638814,0.504089219330855,0.6644211387682647,0.3498175578336104
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.3962765957446808,0.8010752688172043,0.5302491103202847,0.6801492848940391,0.271659648156165,0.6383737517831669,0.4086311530681052,0.8156123822341858,0.5444743935309974,0.6950453953868648,0.295869256947681
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6283880171184023,0.4,0.8010752688172043,0.5335720680393912,0.6835473431464663,0.2780438723246956,0.6533523537803139,0.4192415730337078,0.8045822102425876,0.5512465373961218,0.7017576424636799,0.311788554656173
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7838801711840229,0.6011730205278593,0.5510752688172043,0.5750350631136044,0.709518216932874,0.4304954137295856,0.7699714693295292,0.5710144927536231,0.5302826379542396,0.5498953244940684,0.6933315179096767,0.3956880397969521
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.782453637660485,0.6043613707165109,0.521505376344086,0.5598845598845599,0.6991022027351498,0.4164408088847402,0.7810271041369472,0.6056105610561056,0.4946091644204852,0.5445103857566765,0.6893511389512708,0.4023040540352884
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6726105563480742,0.4359351988217967,0.7956989247311828,0.5632730732635585,0.711927132268504,0.3354324886453529,0.6865192582025678,0.4484066767830045,0.7954239569313594,0.5735080058224163,0.721341284627737,0.3548701529853715
LogisticRegression,"{'penalty': 'l2', 'C': 0.01, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6790299572039943,0.4412650602409638,0.7876344086021505,0.5656370656370656,0.7137201169224345,0.341753820728338,0.7072039942938659,0.4686756542426645,0.7964959568733153,0.5901148277583624,0.7357843508905859,0.3853057658458226
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.81169757489301,0.6636363636363637,0.5887096774193549,0.6239316239316239,0.7404713435640464,0.4989359455464041,0.8002853067047075,0.6431924882629108,0.5531628532974427,0.5947901591895803,0.7212684717724478,0.4632711392704474
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.8038516405135521,0.6579804560260586,0.543010752688172,0.5949926362297496,0.7205345025576783,0.4671411789095432,0.8042082738944365,0.6649572649572649,0.5242587601078167,0.586284853051997,0.7146027069210277,0.4603851417290154
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7332382310984308,0.4983388704318937,0.8064516129032258,0.6160164271047228,0.7566238647040401,0.4286031863653206,0.7360912981455064,0.5012787723785166,0.7913862718707941,0.6137787056367432,0.7537717385554843,0.4282889722944873
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7296718972895863,0.4940978077571669,0.7876344086021505,0.6072538860103627,0.7481861363399103,0.4172031877578865,0.7589158345221113,0.5292553191489362,0.8045822102425876,0.6385026737967914,0.7735326182153772,0.4689762904227114
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.81169757489301,0.6636363636363637,0.5887096774193549,0.6239316239316239,0.7404713435640464,0.4989359455464041,0.8002853067047075,0.6431924882629108,0.5531628532974427,0.5947901591895803,0.7212684717724478,0.4632711392704474
